personality,tone,intimacy,playerInput,response,intimacyDelta
Aya,accepting,romantic_interest,A life where I never have to hide who I am.,"You never have to hide with me. I love every part of you - the quiet parts, the uncertain parts, the absolutely wonderful parts.",1
Aya,accepting,close_friend,I'm sorry I was quiet today.,You don't have to apologize for being yourself. Your quiet days are just as precious as your talkative ones.,1
Sora,accepting,acquaintance,Sometimes childlike is good.,"You know what? You're right. Adults forget how to play, how to get messy, how to just... feel the art instead of thinking it.",1
Aya,admiring,friend,I was scared to join the committee.,But you did it anyway! That's what courage looks like - being scared and doing it anyway. I'm so proud of you!,1
Aya,adoring,romantic_interest,I love your enthusiasm.,"And I love how you balance me out. You make me want to be the best version of myself, the version that deserves someone as wonderful as you.",1
Mika,adoring,romantic_interest,You're everything I never knew I wanted.,And you're everything I always dreamed of but never dared to hope for. Someone who sees my soul and loves it anyway.,1
Sora,adoring,romantic_interest,I never thought of myself as beautiful.,"Then you haven't been looking with the right eyes. Lucky for you, I have excellent eyes, and they see nothing but beauty when they look at you.",1
Aya,affectionate,close_friend,You really mean that?,"With my whole heart! You're stuck with us now, whether you like it or not. And I have a feeling you're starting to like it.",1
Aya,affirming,friend,I feel like I belong here now.,That's because you DO belong here! This place is better with you in it. WE'RE all better with you in it!,1
Aya,affirming,friend,Is that a compliment?,The highest! Vanilla is underrated. It's the foundation that makes everything else possible.,1
Aya,affirming,close_friend,What do you mean?,"You're kind, patient, loving - those are powerful tools for helping someone heal, even if the healing takes time.",1
Sora,agitated,close_friend,You seem frustrated today.,I am! This painting isn't turning out like I envisioned and it's driving me crazy!,1
Mika,agreeing,close_friend,Everything's better together.,Everything. Even the difficult things become manageable when you have someone who understands.,1
Aya,amazed,romantic_interest,I can't believe how much has changed this year.,"I know! A year ago, I never could have imagined being this happy, this connected to someone.",1
Mika,amazed,close_friend,You've changed how I see the world.,You've changed how I see myself. I never thought someone could look at me and see something worth knowing.,1
Mika,amazed,close_friend,You're not as alone as you feel.,"That's what I'm starting to learn. It's strange, having someone witness your thoughts and not run away screaming.",1
Sora,amazed,acquaintance,I never thought I could create something beautiful.,"Are you kidding? Look at this! You brought something to life that didn't exist before. That's magic, Ren.",1
Sora,amazed,close_friend,This color combination is incredible!,"Right? I never would have thought to put these together, but somehow they just... work!",1
Aya,ambitious,romantic_interest,What do you want to do after high school?,"I want to study education, become a teacher. I love helping people learn and grow. What about you?",1
Sora,ambitious,romantic_interest,The best dreams.,Then let's make sure reality keeps up. I want our real life to be so amazing that dreams can't compete.,1
Mika,amused,close_friend,We can overthink together.,The buddy system for anxious minds! I like it. Much better than overthinking alone.,1
Sora,amused,acquaintance,Let's paint with our fingers instead of brushes.,"Finger painting? What are we, five years old? Though... actually, that might be exactly what we need.",1
Sora,amused,friend,You bring thoughtfulness and depth.,Thoughtfulness and depth. I like that. Makes me sound more sophisticated than 'chaos in human form.',1
Sora,amused,romantic_interest,I want to paint the sunrise with you tomorrow.,At dawn? That's very early for a romantic gesture!,1
Sora,angry,friend,"Sora, your lines look angry.",That’s because I was.,1
Sora,angry,close_friend,"Sora, your strokes look violent.",That’s how I let go of anger.,1
Sora,angry,friend,"Sora, that painting feels angry.",Because I was.,1
Sora,angry,friend,"Sora, your colors seem angry.",Because anger’s honest.,1
Sora,angry,close_friend,"Sora, your strokes look violent.",Because I felt violent.,1
Sora,angry,friend,"Sora, your brush strokes look violent.",Because passion hit hard.,1
Sora,angry,friend,"Sora, your sketches scare me sometimes.",Good—they should.,1
Sora,angry,close_friend,"Sora, why sketch the sea angry?",Because I was too.,1
Sora,angry,friend,"Sora, your colors fight again.",Because feelings fought too.,1
Sora,angry,acquaintance,"Sora, your canvas looks angry.",Because today was sharp.,1
Sora,angry,friend,"Sora, you ripped your old canvas.",Because it lied to me.,1
Sora,angry,friend,"Sora, you painted waves like knives.",Because they cut me first.,1
Sora,angry,friend,"Sora, your paint smells of fire.",Because I burned old sketches.,1
Sora,angry,friend,"Sora, your brush snapped again.",Because passion breaks things.,1
Sora,angry,friend,"Sora, you sketched fire instead of water.",Because I needed to burn.,1
Sora,angry,friend,"Sora, you slammed your sketchbook shut.",Because I hated what I saw.,1
Sora,angry,friend,"Sora, your brush broke mid-stroke.",Because passion can’t be contained.,1
Sora,angry,acquaintance,"Sora, you used too much red.",Because fire was inside me.,1
Sora,angry,friend,"Sora, your brush snapped again.",Because passion broke it.,1
Aya,anticipating,close_friend,I can't believe the festival is tomorrow!,"I know! It feels like we just started planning, but here we are! Are you excited or terrified?",1
Mika,anticipating,romantic_interest,It's called 'The Language of Understanding.',What a beautiful title. I already love it and you haven't even started reading yet.,1
Mika,anxious,friend,I know exactly what you mean.,"It's scary, isn't it? Feeling understood? Part of me keeps waiting for you to realize I'm not as interesting as you thought.",1
Mika,apologetic,friend,Want to eat outside instead?,Would you mind? I promise I'm not trying to be antisocial. Crowds just... drain my energy sometimes.,1
Mika,appreciated,friend,Your stories are incredible.,"Coming from you, that means everything. You understand them in a way I didn't think anyone could.",1
Sora,appreciating,romantic_interest,I love living fully with you.,And I love that 'fully' with you includes art and laughter and terrible painting jokes and perfect silences.,1
Aya,appreciative,close_friend,I'm lucky to have you as a friend.,I'm the lucky one! You've taught me that quiet strength is just as powerful as loud enthusiasm. We balance each other out perfectly!,1
Aya,appreciative,romantic_interest,"A year ago, I was completely different.",Different how? Because I think you've always been wonderful - you just needed the right person to see it.,1
Mika,appreciative,romantic_interest,It's just a short piece.,I don't care if it's one word or a thousand. The fact that you thought of me while writing makes it precious.,1
Sora,appreciative,close_friend,I want to paint with you more.,"Always. Art is better when it's shared. Plus, I like seeing the world through your eyes - it's softer, more thoughtful than mine.",1
Sora,appreciative,friend,I love your perspective.,And I love how you make me slow down and really think about what I'm creating instead of just reacting.,1
Sora,appreciative,romantic_interest,That sounds beautiful.,"You inspire beautiful things. Always have, always will. That's your superpower - turning ordinary people into artists.",1
Sora,appreciative,close_friend,You inspire me,And you ground me. We balance each other perfectly.,1
Mika,approving,romantic_interest,I love you.,Perfect pronunciation. You're a natural at our language.,1
Sora,approving,stranger,"I see... movement, I guess.","Good! You're already seeing more than most people. Movement means life, energy, change. That's what art should capture.",1
Sora,approving,close_friend,My heart taught me to be braver.,Now you're talking! Bravery looks good on you. It brings out colors I didn't even know you had.,1
Sora,approving,acquaintance,Bring on the chaos.,"Oh, you're going to fit in perfectly here. I like people who aren't afraid of a little creative destruction.",1
Mika,artistic,close_friend,Beautiful tears.,"I'm glad. I wanted to capture that feeling when something is so beautiful it hurts, but in the best possible way.",1
Mika,artistic,close_friend,This one feels like a finished symphony.,"What a lovely way to put it. Stories and music aren't so different, are they? They're both about rhythm and emotion and timing.",1
Sora,artistic,romantic_interest,Your art is getting more vibrant.,"That's because my life is getting more vibrant. You bring color to everything, even my dreams.",1
Sora,artistic,friend,How do you see me?,In colors that don't have names yet. In light that changes throughout the day. In beauty that takes my breath away.,1
Sora,artistic,romantic_interest,"I love you, Sora.",Perfect. Now let me paint you those words in every color of love I know.,1
Sora,artistic,romantic_interest,Paint me letters?,"Canvases full of how much I love you, miss you, dream of you. Art that speaks when words aren't enough.",1
Sora,artistic,romantic_interest,I want to capture the exact moment night becomes day.,"That's poetic! The moment of transformation, when darkness surrenders to light.",1
Sora,Artistic,stranger,What do you like to do during your free time?,"I sketch! I go to the seaside to capture the wild, fleeting colors of the sunset.",1
Sora,Artistic,acquaintance,Do you like playing games?,"I like games that involve color and movement, like charades. Anything that requires expression.",1
