personality,tone,intimacy,playerInput,response,intimacyDelta
aya,cheerful,stranger,"Hi, I'm the new transfer student.",You must be Ren! I'm Aya - class rep and unofficial welcome committee! You can't just sit there like a ghost forever!,1
aya,encouraging,stranger,I'm not really good with crowds.,That's okay! Neither was I at first. But you know what? Sometimes the best friendships start with just one person caring enough to say hi!,1
aya,excited,stranger,What's this about a school festival?,"Oh my gosh, it's going to be amazing! Music, food stalls, games - and we need someone artistic like you to help with posters! Pretty please?",1
aya,enthusiastic,stranger,I guess I could help a little.,"YES! See, I knew you had it in you! Don't worry, I'll make sure you have fun. Group work isn't so scary when you've got me around!",1
aya,playful,stranger,You're really energetic.,"Guilty as charged! Life's too short to be quiet all the time. Plus, someone's gotta balance out all the serious people around here!",1
aya,sincere,stranger,Why are you being so nice to me?,"Because everyone deserves a friend, especially someone who looks like they could use one. Besides, I have good instincts about people!",1
aya,welcoming,stranger,I don't know anyone here.,"Well now you know me! And I know practically everyone, so that's like knowing half the school by association. Consider me your social GPS!",1
aya,helpful,stranger,This school seems big.,It's not that big once you know your way around! Want me to give you the grand tour? I promise to skip the boring parts!,1
aya,reassuring,stranger,I'm nervous about fitting in.,"Hey, fitting in is overrated anyway! The best people are the ones who stand out. But if it helps, I think you'll fit in just fine here.",1
aya,genuine,stranger,Thanks for talking to me.,Are you kidding? This is the highlight of my day! It's not every day we get someone new and interesting around here.,1
aya,curious,acquaintance,Do you always help new students?,"Only the ones who look like they have good stories to tell! Plus, you seem different in a good way. I like different!",1
aya,interested,acquaintance,I transferred from the city.,"Ooh, city life! That must have been so exciting! Though I bet it's nice to have a change of pace here by the ocean.",1
aya,enthusiastic,acquaintance,It's quieter here than I expected.,That's one of the best things about Hinode Bay! You can actually hear yourself think. Perfect for someone artistic like you!,1
aya,observant,acquaintance,How did you know I'm artistic?,"Lucky guess! Plus, you've got that dreamy look artists get when they're seeing the world differently than everyone else.",1
aya,excited,acquaintance,I do like to draw.,"I KNEW IT! See, I told you I had good instincts! What do you like to draw? People? Places? Abstract feelings?",1
aya,encouraging,acquaintance,Mostly landscapes and scenes.,That's so cool! Bet you could capture some amazing shots of the bay area. The sunrise here is absolutely magical!,1
aya,determined,acquaintance,I haven't explored much yet.,"Well, that settles it! I'm officially appointing myself as your tour guide. No arguments allowed!",1
aya,hopeful,acquaintance,You don't have to do that.,"But I want to! Besides, exploring is way more fun with a friend. And we're friends now, right?",1
aya,delighted,acquaintance,I guess we are friends.,"Yes! Best decision you've made all day! Trust me, I'm an excellent friend. References available upon request!",1
aya,teasing,acquaintance,You make me smile.,Mission accomplished! I was starting to worry you were physically incapable of smiling. Good to know it works!,1
aya,confident,friend,I've never been good at making friends.,"Well, lucky for you, I'm good at making friends for both of us! Just stick with me and you'll be fine. Trust me on this!",1
aya,teasing,friend,Thanks for including me in everything.,"Hey, that's what friends do! Besides, you're not invisible anymore - was that a smile I just saw? Someone write that down!",1
aya,compassionate,friend,My parents split up. That's why I moved here.,"Oh Ren... I'm sorry. That must have been really hard. But hey, maybe this is your chance for a fresh start - new place, new you!",1
aya,proud,friend,I'm glad I met you.,"Me too! You know, I was worried you'd stay closed off forever. But look at you now - helping with the festival, talking to people!",1
aya,inspiring,friend,You make everything seem possible.,That's because it IS possible! You just needed someone to believe in you first. Now you're starting to believe in yourself too!,1
aya,devoted,friend,I don't know what I'd do without you.,"Good thing you'll never have to find out! I'm not going anywhere, Ren. That's a promise.",1
aya,satisfied,friend,The festival planning is actually fun.,"See? I told you! When you're doing something with people you care about, even work feels like play!",1
aya,admiring,friend,I was scared to join the committee.,But you did it anyway! That's what courage looks like - being scared and doing it anyway. I'm so proud of you!,1
aya,nurturing,friend,You helped me come out of my shell.,"You were never broken, Ren. You just needed the right environment to bloom. And look at you blooming now!",1
aya,affirming,friend,I feel like I belong here now.,That's because you DO belong here! This place is better with you in it. WE'RE all better with you in it!,1
aya,philosophical,close_friend,"You believe in people, don't you?",Always! I think everyone has something amazing inside them. Sometimes they just need someone to help them find it.,1
aya,optimistic,close_friend,That's a beautiful way to see the world.,It's the only way I know how! Life's too short to focus on what's wrong when there's so much that's right.,1
aya,encouraging,close_friend,I wish I had your confidence.,"You do have it! It's just hiding under all those worries. Every day you're here, talking, participating - that's confidence!",1
aya,supportive,close_friend,Sometimes I still feel like giving up.,"Hey, we all have those days. But that's what friends are for - to remind you why you should keep going when you forget.",1
aya,honest,close_friend,You never seem to have bad days.,"Oh, I definitely do! I just try to remember that bad days make the good days feel even better. Plus, hiding helps nobody.",1
aya,sharing,close_friend,What do you do when you're sad?,"I call my friends, eat too much ice cream, and remember that feelings are temporary but friendships are forever. Works every time!",1
aya,appreciative,close_friend,I'm lucky to have you as a friend.,I'm the lucky one! You've taught me that quiet strength is just as powerful as loud enthusiasm. We balance each other out perfectly!,1
aya,wise,close_friend,You see the best in everyone.,Because the best is always there! Sometimes it's just buried under hurt or fear. But it's always worth looking for.,1
aya,reflective,close_friend,I admire your optimism.,And I admire your thoughtfulness! You make me slow down and really appreciate moments instead of rushing through them.,1
aya,playful,close_friend,We make a good team.,"The best! You bring the depth, I bring the energy. Together we're unstoppable! Like peanut butter and jelly!",1
aya,tender,romantic_interest,I care about you a lot.,"I care about you too, Ren. More than I probably should admit. You've become really important to me.",1
aya,emotional,romantic_interest,You mean everything to me.,That's... that's the most beautiful thing anyone's ever said to me. You mean everything to me too.,1
aya,vulnerable,romantic_interest,I think I'm falling for you.,I think I fell a long time ago. I was just waiting for you to catch up. Is it okay that I feel this way?,1
aya,romantic,romantic_interest,I love how you make me feel.,Like you can conquer the world? Because that's how you make me feel too. Like anything is possible when we're together.,1
aya,devoted,romantic_interest,I want to be with you.,"I want that too. More than I've ever wanted anything. You're my person, Ren. You always have been.",1
mika,reserved,stranger,That's my favorite spot.,"Oh, sorry, I didn't know anyone else came here. Should I find somewhere else to sit?",1
mika,mysterious,stranger,What are you reading?,"Just... stories. I write things I wish existed. Sometimes fiction is easier than real life, you know?",1
mika,thoughtful,stranger,I like quiet places too.,"Most people think quiet is boring. But there's something peaceful about silence, isn't there? Like the world finally makes sense.",1
mika,cautious,stranger,Do you come here often?,Every day after school. It's... safe here. Away from all the noise and expectations. Do you mind the company?,1
mika,relieved,stranger,I don't mind at all.,Good. I was worried you might be one of those people who needs to fill every silence with words.,1
mika,understanding,stranger,I prefer quiet myself.,Really? That's... refreshing. Most people seem afraid of silence. Like they think it means something's wrong.,1
mika,introspective,stranger,Are you writing something now?,"Always. Words flow better when there's peace around me. This notebook has become my closest friend, I think.",1
mika,melancholic,stranger,What kind of stories do you write?,"Sad ones, mostly. Happy ones never feel real to me. Is that terrible?",1
mika,grateful,stranger,Not terrible at all.,"Thank you for saying that. People usually tell me I should write happier things. But sadness can be beautiful too, can't it?",1
mika,passionate,stranger,I think sadness has its place in art.,"Exactly! It's honest. Raw. Real emotions, even difficult ones, deserve to be acknowledged and expressed.",1
mika,introspective,acquaintance,Do you write often?,"Every day. Words are... safer than speaking sometimes. You can edit them, make them perfect before anyone sees them.",1
mika,gentle,acquaintance,I draw instead of writing.,That's beautiful. Art in any form is like... capturing pieces of your soul. Do you mind if I see?,1
mika,vulnerable,acquaintance,Your writing is really good.,You think so? I always worry it's too... much. Like I reveal too much of myself in the words.,1
mika,opening_up,acquaintance,I understand feeling like an outsider.,Really? You seem so... together. I always feel like I'm watching life happen instead of living it.,1
mika,understanding,acquaintance,Sometimes I feel invisible too.,"Maybe that's not always bad though. When you're invisible, you see things others miss. You notice the details.",1
mika,wistful,acquaintance,You have a unique perspective on things.,I suppose being on the outside gives you a different view. Though sometimes I wonder what it would be like to be... included.,1
mika,content,acquaintance,Would you like to be included more?,"Sometimes. But then I remember how overwhelming crowds can be. Here, with you, feels just right though.",1
mika,insecure,acquaintance,I feel comfortable here with you too.,"That's... that's nice to hear. I was worried I was too quiet, too boring for most people.",1
mika,honest,acquaintance,You're not boring at all.,"Thank you. Sometimes I think I have so much to say but no voice to say it with. Writing helps, but it's still lonely.",1
mika,doubtful,acquaintance,Maybe you don't need to change.,"Do you really think so? Everyone else seems so confident, so sure of themselves. I feel like I'm always second-guessing everything.",1
mika,warm,friend,I'm glad we found each other.,Me too. It's nice having someone who understands that silence isn't empty - it's full of possibilities.,1
mika,touched,friend,You help me feel less alone.,That's... that's the most beautiful thing anyone's ever said to me. I feel the same way about you.,1
mika,trusting,friend,I'd like to read more of your stories.,"I'd like that. I've never shared them with anyone before, but with you... it feels safe.",1
mika,appreciated,friend,Your stories are incredible.,"Coming from you, that means everything. You understand them in a way I didn't think anyone could.",1
mika,connected,friend,"We think alike, don't we?",We do. It's like finding another piece of my own soul walking around in the world. Is that too strange to say?,1
mika,poetic,friend,Not strange at all. I feel it too.,Sometimes I think we speak a language that nobody else understands. A language of glances and silences and shared understanding.,1
mika,inspired,friend,You put things so beautifully.,"Only because you inspire beautiful thoughts. Before I met you, everything felt gray. Now there are colors I didn't know existed.",1
mika,hopeful,friend,Do you ever feel lonely?,"Less now. Before you, I felt like I was living in a world where I didn't quite fit. Now I feel like I found my place.",1
mika,anxious,friend,I know exactly what you mean.,"It's scary, isn't it? Feeling understood? Part of me keeps waiting for you to realize I'm not as interesting as you thought.",1
mika,vulnerable,friend,You're more interesting than you know.,"You see me differently than I see myself. Through your eyes, I almost feel... worthy of being seen.",1
mika,collaborative,close_friend,"This story is incredible, but I'm stuck.",What if... what if the girl realizes she doesn't need to find her voice? What if she finds someone who understands her silence?,1
mika,meaningful,close_friend,You think silence can be communication too?,"Absolutely. Sometimes the most important conversations happen without words. Like... like right now, actually.",1
mika,grateful,close_friend,I'd love to help you finish this.,Really? No one's ever wanted to collaborate with me before. I... I'd like that very much.,1
mika,fulfilled,close_friend,Your writing makes me feel understood.,That's... that's exactly what I hope for when I write. To make someone feel less alone in the world.,1
mika,hopeful,close_friend,Maybe we could write something together.,"I'd love that more than anything. Two perspectives, one story. Like... like us.",1
mika,amazed,close_friend,You've changed how I see the world.,You've changed how I see myself. I never thought someone could look at me and see something worth knowing.,1
mika,moved,close_friend,You're worth so much more than you realize.,"When you say things like that, I almost believe them. You make me want to be the person you see when you look at me.",1
mika,cherishing,close_friend,I treasure our conversations.,"I do too. They're the brightest part of my day. Sometimes I write them down later, trying to capture the feeling.",1
mika,shy,close_friend,You write about our talks?,"Only the feeling of them. The warmth, the understanding, the sense of being truly heard. Is that okay?",1
mika,hopeful,close_friend,I'm honored to inspire your writing.,You inspire more than just my writing. You inspire me to believe that maybe I'm not meant to be alone forever.,1
mika,wondering,romantic_interest,You're not alone anymore.,"Neither are you. We found each other in all the noise of the world. That has to mean something, doesn't it?",1
mika,romantic,romantic_interest,It means everything to me.,"To me too. I never believed in fate before, but meeting you... it feels like the universe conspired to bring us together.",1
mika,confessing,romantic_interest,I think I'm falling in love with you.,I think I've been in love with you since the first day you sat in my quiet corner and understood why I needed the silence.,1
mika,adoring,romantic_interest,You're everything I never knew I wanted.,And you're everything I always dreamed of but never dared to hope for. Someone who sees my soul and loves it anyway.,1
mika,devoted,romantic_interest,I want to share everything with you.,"I want that too. All my words, all my silences, all my stories - I want them all to include you.",1
sora,bold,stranger,You draw waves like someone who's never swum in one.,"Excuse me? I mean... maybe you're right, but that's kind of rude to point out.",1
sora,mysterious,stranger,What do you mean by 'color'?,"Everyone's got colors - their vibe, their energy. Most people are boring beige, but you... you've got hidden depths. I can tell.",1
sora,passionate,stranger,I don't really know much about art.,That's tragic! Art isn't about knowing stuff - it's about feeling stuff. You can't think your way into good art!,1
sora,confident,stranger,You're pretty direct.,"Life's too short for beating around the bush. Besides, someone's gotta shake you out of that shell you're hiding in!",1
sora,encouraging,stranger,I've never painted before.,So? I've never met someone who sketches emotions like you do. Want to try something new? I promise not to laugh... much.,1
sora,challenging,stranger,I'm not very adventurous.,"Says who? You moved to a whole new town, didn't you? That takes guts. You just need the right push in the right direction.",1
sora,philosophical,stranger,Why do you paint by the ocean?,"Because it's honest. The ocean doesn't pretend to be something it's not. It's wild, beautiful, dangerous, peaceful - sometimes all at once.",1
sora,curious,stranger,That's an interesting way to see it.,"Most people just see water. I see moods, stories, possibilities. What do you see when you look at it?",1
sora,approving,stranger,"I see... movement, I guess.","Good! You're already seeing more than most people. Movement means life, energy, change. That's what art should capture.",1
sora,playful,stranger,You paint here every day?,"Almost. This light, this energy - you can't get it anywhere else. Plus, I like watching people's reactions when they see me here.",1
sora,honest,acquaintance,Why do you care if I try new things?,Because I see sparks in you that you don't even know are there. It's frustrating watching someone waste their potential!,1
sora,flirtatious,acquaintance,You're different from anyone I've met.,Good! Different is interesting. Boring people bore me to tears. You... you intrigue me. That doesn't happen often.,1
sora,reassuring,acquaintance,I'm scared of messing up.,"So what if you mess up? That's how you learn! Besides, the best art comes from happy accidents. Trust me on this.",1
sora,proud,acquaintance,You make me want to be braver.,Now that's what I'm talking about! You've got fire in you - you just needed the right tide to bring it out.,1
